"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","500","submit contact payload successfully","","Tue Apr 28 23:37:30 UTC 2026","failed","Tue Apr 28 23:37:31 UTC 2026","API automation","api.spec.ts","",""
"","193","reuse saved storage state without logging in again","","Tue Apr 28 23:37:43 UTC 2026","passed","Tue Apr 28 23:37:43 UTC 2026","Authentication state","auth-state.spec.ts","",""
"","1452","invalid form shows validation error","","Tue Apr 28 23:37:37 UTC 2026","passed","Tue Apr 28 23:37:38 UTC 2026","Form submission","form.spec.ts","",""
"","499","reject invalid contact payload","","Tue Apr 28 23:37:33 UTC 2026","failed","Tue Apr 28 23:37:33 UTC 2026","API automation","api.spec.ts","",""
"","1476","submit form successfully","","Tue Apr 28 23:37:35 UTC 2026","passed","Tue Apr 28 23:37:37 UTC 2026","Form submission","form.spec.ts","",""
"","535","fails once for artifacts and passes on rerun","","Tue Apr 28 23:37:35 UTC 2026","passed","Tue Apr 28 23:37:35 UTC 2026","Demo retry flow","demo-rerun.spec.ts","",""
"","1455","navigate between sections","","Tue Apr 28 23:37:41 UTC 2026","passed","Tue Apr 28 23:37:42 UTC 2026","Navigation and assertions","navigation.spec.ts","",""
"","415","save storage state after login","","Tue Apr 28 23:37:43 UTC 2026","passed","Tue Apr 28 23:37:43 UTC 2026","Authentication state","auth-state.spec.ts","",""
"","1308","invalid login shows error","","Tue Apr 28 23:37:39 UTC 2026","passed","Tue Apr 28 23:37:41 UTC 2026","Login","login.spec.ts","",""
"","508","fetch demo user profile","","Tue Apr 28 23:37:28 UTC 2026","failed","Tue Apr 28 23:37:29 UTC 2026","API automation","api.spec.ts","",""
"","1331","valid login","","Tue Apr 28 23:37:38 UTC 2026","passed","Tue Apr 28 23:37:39 UTC 2026","Login","login.spec.ts","",""
